fr,en
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
Textes relatifs au système de combat.,Battle engine related texts.
Textes relatifs aux effets en combat.,Battle effects related texts.
Textes relatifs à l'interface de combat.,Battle user interface related texts.
Textes affichés dans le cas de l'utilisation d'une capacité en combat.,Texts about the use of moves during a battle.
Textes relatifs au sac et à son utilisation.,All the bag related texts.
Textes relatifs à l'interface de l'équipe de créatures.,Creatures team related texts.
Textes relatifs à l'apprentissage d'une attaque.,Move learning related texts
Textes relatifs au chargement de la sauvegarde du joueur.,Save load related texts.
Textes relatifs à la sauvegarde d'une partie du joueur.,Save related texts.
Textes relatifs à la page de résumé de la créature et notamment à ses statistiques.,Creature summary statistics related texts.
Textes relatifs à la page de résumé de la créature et notamment à ses informations générales.,Creature summary information related texts.
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
Ce fichier de texte contient les textes utilisés dans le cas d'une défaite du joueur contre un dresseur.,This text file contains the texts used in the case of a player losing to a trainer.
Ce fichier de texte contient les textes utilisés dans le cas d'une victoire du joueur contre un dresseur.,This text file contains the texts used in the case of a player's victory against a trainer.
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
