fr,en
":[name=???]:Salut Maker, et bienvenue dans la démo technique de PokémonSDK !",":[name=???]:Hello Maker, and welcome to the PokémonSDK Technical Demo!"
":[name=SirMalo]:Je suis SirMalo,[WAIT 40] et voici mes collègues Aerun,[WAIT 100] Nuri Yuri,[WAIT 100] Palbolsky,[WAIT 100] Rey,[WAIT 100] et Walven ![WAIT 100]",":[name=SirMalo]:I am SirMalo,[WAIT 40] and here are my workmates Aerun,[WAIT 100] Nuri Yuri,[WAIT 100] Palbolsky,[WAIT 100] Rey,[WAIT 100] and Walven![WAIT 100]"
:[name=SirMalo]:Cette démo technique est le fruit de notre collaboration continuelle et du chemin parcouru depuis la première release de PokémonSDK.,:[name=SirMalo]:This technical demo is the result of our continued collaboration and shows how far we've come since the first release of PokémonSDK.
":[name=SirMalo]:Bien entendu, PokémonSDK ne serait jamais arrivé jusqu'à ce niveau sans les divers contributeurs qui ont tous apporté leur pierre à l'édifice !",":[name=SirMalo]:Of course, PokémonSDK would never have reached this level without all the contributors who played their part!"
":[name=SirMalo]:Pour ce qui est de cette démo, elle te permettra d'essayer en jeu les différents systèmes que nous offrons avec PokémonSDK.",":[name=SirMalo]:As far as this demo is concerned, it will let you test the different systems we offer with PokémonSDK ingame."
":[name=SirMalo]:Mais elle est aussi en lien avec Pokémon Studio, et elle te permettra de voir comment ces fonctionnalités sont implémentées.",":[name=SirMalo]:But it is also connected with Pokémon Studio, and it will let you see how these features are implemented."
":[name=SirMalo]:Tu arriveras sous peu sur l'Île, une collection de maps sur lesquelles tu pourras te balader et expérimenter.",":[name=SirMalo]:You will soon arrive on the Island, a collection of maps on which you will be able to explore and experiment on."
":[name=SirMalo]:Je te conseille de d'abord te rendre à la Tour, ça sera le début de ton parcours dans cette démo.\nlQuelqu'un t'y attend.",":[name=SirMalo]:You'll want to start by going to the Tower, as it will be the beginning of your journey. Someone will wait for you there."
":[name=SirMalo]:Mais avant de te laisser partir, je vais te demander quelques informations.",":[name=SirMalo]:But before you leave, I have to ask you for some information."
:[name=SirMalo]:Sais-tu comment changer tes touches ?,:[name=SirMalo]:Do you know how to change your controls?
:[name=SirMalo]:Super ! Continuons avec la prochaine question.,:[name=SirMalo]:Great! Then let's continue with the next question.
":[name=SirMalo]:Pour changer tes touches, appuie sur la touche F1 à tout moment après cette introduction !",":[name=SirMalo]:To change your controls, press the F1 button at any point after this introduction!"
:[name=SirMalo]:Tu pourras alors modifier tes contrôles comme bon te semble.,:[name=SirMalo]:You can then modify your controls as you see fit.
:[name=SirMalo]:Passons à la question suivante.,:[name=SirMalo]:Let's move on to the next question.
:[name=SirMalo]:Quelle est l'apparence qui te définit le mieux ?,:[name=SirMalo]:Which appearence defines you the best?
Gauche,Left
Droite,Right
":[name=SirMalo]:Pour finir, quel est ton nom ?",":[name=SirMalo]:Finally, what is your name?"
:[name=SirMalo]:\n[1] ? C'est un très beau nom !\nlJe l'ai bien écrit ?,:[name=SirMalo]:\n[1]? It's a great name!\nlDid I write it properly?
":[name=SirMalo]:Tout est bon, jeune Maker !",":[name=SirMalo]:We're done, young Maker!"
:[name=SirMalo]:Tu vas pouvoir expérimenter cette démo et découvrir les fonctionnalités de PokémonSDK !,:[name=SirMalo]:You can now experiment with this demo and discover the features of PokémonSDK!
:[name=SirMalo]:Amuse-toi bien !,:[name=SirMalo]:Have fun!
