en,fr,it,de,es,ko,kana
the Kalos Champion,le Maître de Kalos,the Kalos Champion,the Kalos Champion,the Kalos Champion,the Kalos Champion,the Kalos Champion
the Champion,le Maître,the Champion,the Champion,the Champion,the Champion,the Champion
the Sinnoh Champion,le Maître de Sinnoh,the Sinnoh Champion,the Sinnoh Champion,the Sinnoh Champion,the Sinnoh Champion,the Sinnoh Champion
the Great Friend,le Bon Ami,the Great Friend,the Great Friend,the Great Friend,the Great Friend,the Great Friend
the Tried and True,le Surentrainé,the Tried and True,the Tried and True,the Tried and True,the Tried and True,the Tried and True
the Veteran,le Vétéran,the Veteran,the Veteran,the Veteran,the Veteran,the Veteran
the Master,l'Expert,the Master,the Master,the Master,the Master,the Master
the Once Well-Trained,le Déterminé,the Once Well-Trained,the Once Well-Trained,the Once Well-Trained,the Once Well-Trained,the Once Well-Trained
the Once Vigilant,le Vigilant,the Once Vigilant,the Once Vigilant,the Once Vigilant,the Once Vigilant,the Once Vigilant
the Once Cowardly,le Choqué,the Once Cowardly,the Once Cowardly,the Once Cowardly,the Once Cowardly,the Once Cowardly
the Once Shaken,l'Attristé,the Once Shaken,the Once Shaken,the Once Shaken,the Once Shaken,the Once Shaken
the Once Imperfect,le Négligent,the Once Imperfect,the Once Imperfect,the Once Imperfect,the Once Imperfect,the Once Imperfect
the Once Well-Rested,le Détendu,the Once Well-Rested,the Once Well-Rested,the Once Well-Rested,the Once Well-Rested,the Once Well-Rested
the Once Sleepy,le Somnolent,the Once Sleepy,the Once Sleepy,the Once Sleepy,the Once Sleepy,the Once Sleepy
the Once Cheery,le Souriant,the Once Cheery,the Once Cheery,the Once Cheery,the Once Cheery,the Once Cheery
the Gorgeous,le Sublime,the Gorgeous,the Gorgeous,the Gorgeous,the Gorgeous,the Gorgeous
the Royal,le Royal,the Royal,the Royal,the Royal,the Royal,the Royal
the Gorgeous Royal,le Royalement Sublime,the Gorgeous Royal,the Gorgeous Royal,the Gorgeous Royal,the Gorgeous Royal,the Gorgeous Royal
the Model for Paintings,le Modèle,the Model for Paintings,the Model for Paintings,the Model for Paintings,the Model for Paintings,the Model for Paintings
the Strutter,le Randonneur,the Strutter,the Strutter,the Strutter,the Strutter,the Strutter
the Record Holder,le Détenteur de Record,the Record Holder,the Record Holder,the Record Holder,the Record Holder,the Record Holder
the Living Legend,la Légende Vivante,the Living Legend,the Living Legend,the Living Legend,the Living Legend,the Living Legend
the Victor,le Vainqueur,the Victor,the Victor,the Victor,the Victor,the Victor
the Triumphant,le Triomphant,the Triumphant,the Triumphant,the Triumphant,the Triumphant,the Triumphant
the 100x Victorious,le Cent Fois Victorieux,the 100x Victorious,the 100x Victorious,the 100x Victorious,the 100x Victorious,the 100x Victorious
the World Conqueror,le Conquérant Mondial,the World Conqueror,the World Conqueror,the World Conqueror,the World Conqueror,the World Conqueror
the Pokémon Fan,le Fan de Pokémon,the Pokémon Fan,the Pokémon Fan,the Pokémon Fan,the Pokémon Fan,the Pokémon Fan
the Celebratory,le Fêtard,the Celebratory,the Celebratory,the Celebratory,the Celebratory,the Celebratory
the Festive,le Compétiteur,the Festive,the Festive,the Festive,the Festive,the Festive
the Best Buddy,le Fidèle,the Best Buddy,the Best Buddy,the Best Buddy,the Best Buddy,the Best Buddy
the Premium,le Spécial,the Premium,the Premium,the Premium,the Premium,the Premium
the Cherished,le Bien-Aimé,the Cherished,the Cherished,the Cherished,the Cherished,the Cherished
the Wish Granter,l'Exauceur de Souhaits,the Wish Granter,the Wish Granter,the Wish Granter,the Wish Granter,the Wish Granter
the Battle Champion,le Vainqueur du Championnat,the Battle Champion,the Battle Champion,the Battle Champion,the Battle Champion,the Battle Champion
the Regional Champion,le Champion Régional,the Regional Champion,the Regional Champion,the Regional Champion,the Regional Champion,the Regional Champion
the National Champion,le Champion National,the National Champion,the National Champion,the National Champion,the National Champion,the National Champion
the World Champion,le Champion du Monde,the World Champion,the World Champion,the World Champion,the World Champion,the World Champion
the Treasured Memory,le Compétiteur Inoubliable,the Treasured Memory,the Treasured Memory,the Treasured Memory,the Treasured Memory,the Treasured Memory
the Exciting Memory,le Combattant Inoubliable,the Exciting Memory,the Exciting Memory,the Exciting Memory,the Exciting Memory,the Exciting Memory
the Hoenn Champion,le Maître de Hoenn,the Hoenn Champion,the Hoenn Champion,the Hoenn Champion,the Hoenn Champion,the Hoenn Champion
the Shining Star,la Star de Légende,the Shining Star,the Shining Star,the Shining Star,the Shining Star,the Shining Star
the Former Star,l'Ancienne Star,the Former Star,the Former Star,the Former Star,the Former Star,the Former Star
the Vintage Beauty,la Beauté d'Antan,the Vintage Beauty,the Vintage Beauty,the Vintage Beauty,the Vintage Beauty,the Vintage Beauty
the Former Idol,la Grâce Incarnée,the Former Idol,the Former Idol,the Former Idol,the Former Idol,the Former Idol
the Historic Genius,le Génie,the Historic Genius,the Historic Genius,the Historic Genius,the Historic Genius,the Historic Genius
the Formerly Buff,l'Ancien Gros Dur,the Formerly Buff,the Formerly Buff,the Formerly Buff,the Formerly Buff,the Formerly Buff
the Alola Champion,le Maître d'Alola,the Alola Champion,the Alola Champion,the Alola Champion,the Alola Champion,the Alola Champion
the Royal Master,le Champion Royal,the Royal Master,the Royal Master,the Royal Master,the Royal Master,the Royal Master
the Tree Victor,le Vainqueur de l'Arbre,the Tree Victor,the Tree Victor,the Tree Victor,the Tree Victor,the Tree Victor
the Tree Master,le Maître de l'Arbre,the Tree Master,the Tree Master,the Tree Master,the Tree Master,the Tree Master
the Galar Champion,le Maître de Galar,the Galar Champion,the Galar Champion,the Galar Champion,the Galar Champion,the Galar Champion
the Paldea Champion,le Maître de Paldea,the Paldea Champion,the Paldea Champion,the Paldea Champion,the Paldea Champion,the Paldea Champion
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
the Twinkling Star,l'Étoile Brillante,the Twinkling Star,the Twinkling Star,the Twinkling Star,the Twinkling Star,the Twinkling Star
the Treasured Memory,le Compétiteur Inoubliable,the Treasured Memory,the Treasured Memory,the Treasured Memory,the Treasured Memory,the Treasured Memory
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
the Tower Master,le Maître de la Tour,the Tower Master,the Tower Master,the Tower Master,the Tower Master,the Tower Master
the Exciting Memory,le Combattant Inoubliable,the Exciting Memory,the Exciting Memory,the Exciting Memory,the Exciting Memory,the Exciting Memory
the Rank Master,le Maître du Classement,the Rank Master,the Rank Master,the Rank Master,the Rank Master,the Rank Master
of the Distant Past,le Témoin du Passé,of the Distant Past,of the Distant Past,of the Distant Past,of the Distant Past,of the Distant Past
the One-in-a-Million,l'Irremplaçable,the One-in-a-Million,the One-in-a-Million,the One-in-a-Million,the One-in-a-Million,the One-in-a-Million
