en,fr,it,de,es,ko,kana
Abomasnow,Blizzaroi,Abomasnow,Rexblisar,Abomasnow,눈설왕,ユキノオー
Abomasnow,Blizzaroi,Abomasnow,Rexblisar,Abomasnow,눈설왕,ユキノオー
Abra,Abra,Abra,Abra,Abra,캐이시,ケーシィ
Absol,Absol,Absol,Absol,Absol,앱솔,アブソル
Absol,Absol,Absol,Absol,Absol,앱솔,アブソル
Accelgor,Limaspeed,Accelgor,Hydragil,Accelgor,어지리더,アギルダー
Aegislash,Exagide,Aegislash,Durengard,Aegislash,킬가르도,ギルガルド
Aegislash,Exagide,Aegislash,Durengard,Aegislash,킬가르도,ギルガルド
Aegislash,Exagide,Aegislash,Durengard,Aegislash,킬가르도,ギルガルド
Aerodactyl,Ptéra,Aerodactyl,Aerodactyl,Aerodactyl,프테라,プテラ
Aerodactyl,Ptéra,Aerodactyl,Aerodactyl,Aerodactyl,프테라,プテラ
Aggron,Galeking,Aggron,Stolloss,Aggron,보스로라,ボスゴドラ
Aggron,Galeking,Aggron,Stolloss,Aggron,보스로라,ボスゴドラ
Aipom,Capumain,Aipom,Griffel,Aipom,에이팜,エイパム
Alakazam,Alakazam,Alakazam,Simsala,Alakazam,후딘,フーディン
Alakazam,Alakazam,Alakazam,Simsala,Alakazam,후딘,フーディン
Alomomola,Mamanbo,Alomomola,Mamolida,Alomomola,맘복치,ママンボウ
Altaria,Altaria,Altaria,Altaria,Altaria,파비코리,チルタリス
Altaria,Altaria,Altaria,Altaria,Altaria,파비코리,チルタリス
Amaura,Amagara,Amaura,Amarino,Amaura,아마루스,アマルス
Ambipom,Capidextre,Ambipom,Ambidiffel,Ambipom,겟핸보숭,エテボース
Amoonguss,Gaulet,Amoonguss,Hutsassa,Amoonguss,뽀록나,モロバレル
Ampharos,Pharamp,Ampharos,Ampharos,Ampharos,전룡,デンリュウ
Ampharos,Pharamp,Ampharos,Ampharos,Ampharos,전룡,デンリュウ
Anorith,Anorith,Anorith,Anorith,Anorith,아노딥스,アノプス
Araquanid,Tarenbulle,Araquanid,Aranestro,Araquanid,깨비물거미,オニシズクモ
Arbok,Arbok,Arbok,Arbok,Arbok,아보크,アーボック
Arcanine,Arcanin,Arcanine,Arkani,Arcanine,윈디,ウインディ
Arceus,Arceus,Arceus,Arceus,Arceus,아르세우스,アルセウス
Arceus,Arceus,Arceus,Arceus,Arceus,아르세우스,アルセウス
Arceus,Arceus,Arceus,Arceus,Arceus,아르세우스,アルセウス
Arceus,Arceus,Arceus,Arceus,Arceus,아르세우스,アルセウス
