fr,en
\N[1] trouve 25 Jetons !,\N[1] found 25 Coins!
\N[1] trouve 25 Jetons !,\N[1] found 25 Coins!
\N[1] trouve 25 Jetons !,\N[1] found 25 Coins!
\N[1] trouve 25 Jetons !,\N[1] found 25 Coins!
\N[1] trouve 100 Jetons ! C'est jour de fête !,\N[1] found 100 Coins! It's a day of celebration!
Activation du jeu de Minage !,Mining Game: activated!
Que voulez-vous faire ?,What do you want to do?
Jouer,Play
Réglages de la borne,Machine's settings
Consulter mes stats,Check my stats
Quitter,Exit
Cette borne est réglée avec les paramètres suivants :\nl- Entre 2 et 5 objets au hasard (paramètre de base)\nl- Répétable,This machine was set with the following parameters:\nl- Bewteen 2 and 5 items at random (basic settings)\nl- Repeatable
"Vous avez joué [NB_LAUNCH] fois, gagné [NB_WIN] fois, perdu [NB_LOSE] fois.","You have played [NB_LAUNCH] time(s), won [NB_WIN] time(s), and lost [NB_LOSE] time(s)."
"Vous avez tapé avec la pioche [NB_PICKAXE] fois, avec la masse [NB_MACE] fois, et avec la dynamite [NB_DYNAMITE] fois.","You have hit with the pickaxe [NB_PICKAXE] time(s), with the mace [NB_MACE] time(s), and with the dynamite [NB_DYNAMITE] time(s)."
Vous avez tapé avec la pioche [NB_PICKAXE] fois et avec la masse [NB_MACE] fois.,You have hit with the pickaxe [NB_PICKAXE] time(s) and with the mace [NB_MACE] time(s).
"Pour finir, vous avez déterré des objets [NB_ITEMS] fois !","Finally, you have dug up items [NB_ITEMS] time(s)!"
Merci d'avoir joué !,Thank you for playing!
Voulez-vous jouer au Voltorbataille ? La partie coûte 5 Jetons.,Do you want to play Voltorb Flip? A game costs 5 Coins.
Oui,Yes
Non,No
Vous n'avez pas assez de Jetons.,You don't have enough Coins.
Il vous faut une Boîte Jetons pour pouvoir jouer !,You need a Coin Case to play!
Activation du jeu de Minage !,Mining Game: activated!
Que voulez-vous faire ?,What do you want to do?
Jouer,Play
Réglages de la borne,Machine's settings
Consulter mes stats,Check my stats
Quitter,Exit
Cette borne est réglée avec les paramètres suivants :\nl- 3 objets au hasard\nl- Répétable,This machine was set with the following parameters:\nl- 3 items at random\nl- Repeatable
"Vous avez joué [NB_LAUNCH] fois, gagné [NB_WIN] fois, perdu [NB_LOSE].","You have played [NB_LAUNCH] time(s), won [NB_WIN] time(s), and lost [NB_LOSE] time(s)."
