fr,en
Bienvenue ! Je vends des Poké Ball moins chères qu'à côté...,Welcome! I'm selling Poké Balls for less than next door...
"Je vous assure, c'est de la qualité !",I can assure you of their quality!
"La peinture est peut-être un peu écorchée, mais vous ne serez pas déçu\E de ces Balls !","The paint might be peeled a bit, but you won't be disappointed in those Balls!"
Ces Balls sont tombées d'un camion mais c'est de la qualité !,"These are goods which fell of the truck, but still, it's high quality!"
"\t[11, 3]","\t[11, 3]"
"\t[11,5]","\t[11,5]"
"\t[11, 24]","\t[11, 24]"
Vous n'avez rien à vendre !,You have nothing to sell!
"\t[11,4]","\t[11,4]"
"Comme cet objet est à terre, vous pouvez utiliser la commande \c[5]""pick_item""\c[0] pour que l'évènement soit supprimé juste après.","As this item is on the ground, you can use the \c[5]""pick_item""\c[0] command to have the event deleted afterward."
"Comme cet objet a le tag \c[5]""invisible_""\c[0] au début de son nom, il n'a pas d'ombre et peut être détecté avec le Cherch'Objet.","As this item has the \c[5]""invisible_""\c[0] tag at the beginning of its name, it does not have a shadow and can be detected by the Drowsing Machine."
":[name=SirMalo]:Ah, te voilà !\nlBienvenue dans la Tour !",":[name=SirMalo]:Ah, here you are!\nlWelcome to the Tower!"
":[name=SirMalo]:Désolé, je me suis rendu compte en arrivant que j'avais oublié de te fournir tes Chaussures de course...",":[name=SirMalo]:Sorry, I realized when I got here that I forgot to give you these Running Shoes..."
:[name=SirMalo]:J'espère que tu ne m'en veux pas ?,:[name=SirMalo]:I hope you're not angry?
":[name=SirMalo]:Quoiqu'il en soit, tiens, enfile ça.",":[name=SirMalo]:Anyway, here, slip these on."
\c[18]\N[1] obtient les \c[27]Chaussures de course \c[18]! [WAIT 130],\c[18]\N[1] received a pair of \c[27]Running Shoes\c[18]! [WAIT 130]
:[name=SirMalo]:Tu veux que je te présente un peu le Hub Central ?,:[name=SirMalo]:Do you want me to give you a tour of the Central Hub?
":[name=SirMalo]:Suis-moi, je vais te montrer les différents services qu'on y trouve.",":[name=SirMalo]:Follow me, I will show you the different services we offer."
":[name=SirMalo]:Cet escalator mène vers l'Espace Wi-Fi, où tu peux tester les \c[5]fonctionnalités en ligne\c[0].",":[name=SirMalo]:This escalator leads to the Wi-Fi area, where you can test the \c[5]online features\c[0]."
":[name=SirMalo]:Mais pour l'instant, toutes ne sont pas encore disponibles...",":[name=SirMalo]:But for now, not all features are available..."
:[name=SirMalo]:N'hésite pas à inspecter les \c[5]évènements de l'escalator\c[0] pour regarder comment il fonctionne et à les réutiliser dans ton propre jeu.,:[name=SirMalo]:Do not hesitate to inspect the \c[5]elevator event\c[0] to check how it works and to reuse these in your own game.
":[name=SirMalo]:Ici, c'est le comptoir du Centre Pokémon.",:[name=SirMalo]:Here is the Pokémon Center counter.
:[name=SirMalo]:Tu peux y faire soigner tes Pokémon gratuitement !,:[name=SirMalo]:You can heal your Pokémon for free!
:[name=SirMalo]:L'évènement est \c[5]dynamique\c[0] et affiche autant de Pokéballs que de Pokémon que tu as dans ton équipe.,:[name=SirMalo]:The event is \c[5]dynamic\c[0] and displays as many Poké Balls as Pokémon in your party.
:[name=SirMalo]:Il te permet aussi de te \c[5]téléporter dans le dernier Centre visité\c[0] en cas de défaite en combat.,:[name=SirMalo]:It also permits you to \c[5]teleport yourself to the last visited Center\c[0] in case of defeat.
:[name=SirMalo]:Tu as aussi le PC juste-là qui te permet d'accéder au \c[5]système de stockage\c[0] de Pokémon.,":[name=SirMalo]:You also have the PC just right there which allows you to access the Pokémon \c[5]storage system\c[0],"
":[name=SirMalo]:Si tu empruntes ces escaliers, tu arriveras à l'Arène de Combat.",":[name=SirMalo]:If you take these stairs, you'll end up in the Battle Arena."
:[name=SirMalo]:Cet endroit te permet de \c[5]configurer tous les types de combats\c[0] permis par PokémonSDK.,:[name=SirMalo]:This place allows you to \c[5]setup every type of battle\c[0] permitted by PokémonSDK.
":[name=SirMalo]:Cette partie, c'est la Boutique Pokémon.",:[name=SirMalo]:This part is the Pokémon Shop.
:[name=SirMalo]:Tu peux y acheter toutes sortes de produits pour t'aider dans ton aventure.,:[name=SirMalo]:You can buy all sorts of products to help you in your journey.
":[name=SirMalo]:PokémonSDK te permet de paramétrer plein de \c[5]types de Boutiques\c[0] différents, avec des stocks limités ou non.",":[name=SirMalo]:PokémonSDK allows you to setup a lot of different \c[5]shop types\c[0], with limited stocks or not."
":[name=SirMalo]:Bien ! À l'étage, on trouve plein d'autres systèmes.",":[name=SirMalo]:Alright, on this floor we can find many other systems."
":[name=SirMalo]:Derrière le comptoir de gauche, tu trouveras le \c[5]Maître des capacités\c[0] et le \c[5]Donneur de capacité\c[0].",":[name=SirMalo]:Behind the left counter, you'll find the \c[5]Move Reminder\c[0] and the \c[5]Move Tutor\c[0]."
":[name=SirMalo]:Derrière le comptoir de droite, c'est la \c[5]Pension\c[0].",:[name=SirMalo]:Behind the right counter is the \c[5]Day Care\c[0].
:[name=SirMalo]:Tu peux y laisser jusqu'à deux Pokémon pour qu'ils s'entrainent de leur côté.,:[name=SirMalo]:You can leave there up to two Pokémon to have them train on their side.
":[name=SirMalo]:Qui sait, ils pourront même t'apporter un Œuf !",":[name=SirMalo]:Who knows, you might even get an Egg!"
:[name=SirMalo]:Les personnes assises dans la zone de détente juste ici peuvent aussi t'apprendre des choses utiles.,:[name=SirMalo]:The seated people in the relaxation area just here might also teach you useful things.
:[name=SirMalo]:N'hésite pas à leur adresser la parole !,:[name=SirMalo]:Don't hesitate to have a talk with them!
:[name=SirMalo]:Cet ascenseur-là te permet de visiter les \c[5]Zones Environnements\c[0].,:[name=SirMalo]:This elevator here allows you to visit the \c[5]Environmental Zones\c[0].
":[name=SirMalo]:Ces maps présentent tous les environnements qu'il est possible de créer dans PokémonSDK, et les fonctionnalités associées.",":[name=SirMalo]:These maps showcase all the environments you can create with PokémonSDK, and their associated features."
":[name=SirMalo]:Enfin, cet ascenseur-là te permet de visiter les \c[5]Zones Systèmes\c[0].",":[name=SirMalo]:Finally, this elevator allows you to visit the \c[5]System Zones\c[0]."
:[name=SirMalo]:Ce sont différentes maps qui contiennent l'ensemble des fonctionnalités permises par PokémonSDK à l'intérieur des évènements.,:[name=SirMalo]:Those are different maps which contain most features permitted inside events by PokémonSDK.
:[name=SirMalo]:Je vois qu'on a à faire à un\E habitué\E !,:[name=SirMalo]:I see I'm talking to a professional!
