fr,en
Il n'est plus possible d'activer l'interrupteur...,The switch can't be triggered anymore...
Il n'est plus possible d'activer l'interrupteur...,The switch can't be triggered anymore...
Il n'est plus possible d'activer l'interrupteur...,The switch can't be triggered anymore...
"Eh !\nlToi, là !","Hey, you!"
Viens voir...,Come here...
"Ne le répète pas trop, mais...\nlJe suis une ancienne de la Team Rocket.",Between you and me...\nlI'm a former Team Rocket member.
J'étais en charge de la sécurité dans la plupart de nos planques.,I was in charge of security in most of our hideouts.
"Quand le groupe a été dissout, j'ai récupéré un max de matériel.","When the group fell apart, I packed as much stuff as I could."
Les gars de la Tour ont accepté que je continue mes expériences mécaniques ici.,The Tower Staff allowed me to carry on with my mechanical experiments here.
"Si tu parviens à me retrouver tout au bout de ce parcours, je t'offrirai un truc sympa !","If you manage to reach me at the end of this maze, I'll give you something nice!"
"Je l'ai piqué à un nigaud qui aurait mieux fait de plus faire attention à ses poches !\nlNiark, niark !",I stole it from an idiot who'd done better to check their pockets!\nlHehe!
Commence par ici.,Start here.
Quant à moi... Je t'attends au bout !,As for me... I'll wait for you at the end!
"Ahah ! Bien joué, tu t'en es bien tiré\E.","Ahah! Well done, you did a good job."
"Chose promise, chose due...",As promised...
"Je n'en aurais aucune utilité, de toute manière.",I'll never have any use for it anyway.
Tu peux farfouiller dans les \c[5]événements de mes machines\c[0] si tu le souhaites.,You can rummage in my \c[5]machines' events\c[0] if you want to.
"C'est assez complexe, mais ça permet de créer des endroits super cool !","It's quite complex, but you can create very cool puzzles with it!"
Tu peux farfouiller dans les \c[5]événements de mes machines\c[0] si tu le souhaites.,You can rummage in my \c[5]machines' events\c[0] if you want to.
"C'est assez complexe, mais ça permet de créer des endroits super cool !","It's quite complex, but you can create very cool puzzles with it!"
Il y a un message écrit à côté d'un bouton...,There is a message next to a button...
"""Pour réinitialiser le levier vert, cliquez sur ce bouton.""","""To reset the green switch, press the button."""
"C'est plus fort que vous, vous cliquez sur le bouton.",You can't resist the urge to press the button.
...,...
Vous n'êtes plus bloqué.,You are not stuck anymore.
Il ne se passe rien.,Nothing happens.
