en,fr,it,de,es,ko,kana
My Raticate is the strongest AND the fastest of all Raticate!,Mon Rattatac est le plus fort ET le plus rapide des Rattatac !,[~ 0],[~ 0],[~ 0],[~ 0],[~ 0]
You couldn't do anything against the winner of the tournament!,Tu ne pouvais rien contre la vainqueur du tournoi !,,,,,
The rain of your tears flows on the bow of my victorious vessel.,La pluie de tes larmes coule sur la proue de mon victorieux navire.,,,,,
My kimono isn't even crumpled!,Mon kimono n'est même pas froissé !,,,,,
Were you surprised by the majesty of my Pokémon?,Tu t'es laissé\E surprendre par la majesté de mes Pokémon ?,,,,,
Wololo,Wololo,,,,,
"An honorable battle, thank you for your efforts.","Un combat honorable, merci pour vos efforts.",,,,,
"Choo choo, heading for Gare de la Victoire!","Tchou tchou, direction gare de la Victoire !",,,,,
Scoop: the newcomer isn't worth much!,Scoop : \f[la nouvelle arrivante§le nouvel arrivant] ne vaut pas grand chose !,,,,,
"Go back to training and then come see me, I'll be waiting for you.","Retourne t'entrainer puis reviens me voir, je t'attendrai.",,,,,
Ouch! You're not such a novice after all...,Outch ! T'es pas si novice que ça en fait...,,,,,
Did you see the super ability I taught my Meganium?,T'as vu le super talent que j'ai appris à mon Méganium ?,,,,,
Ah! I beat you!,Ah ! Je t'ai battu !,,,,,
My ambush was successful!,Mon embuscade a fonctionné !,,,,,
