fr,en
"Note : il est possible d'afficher la fenêtre de message ailleurs sur l'écran (haut, milieu, bas, gauche, droite, coordonnées personnalisées...) avec la commande\nl\""c[5]position_overwrite\c[0]"".","Note: you can display messages on other parts of the screen (top, middle, bottom, left, right, custom coordinates...) with ""\c[5]position_overwrite\c[0]""."
Bienvenue dans la Bibliothèque de la Tour !,Welcome to the Tower's Library!
:[lookto=9]:Sur votre gauche : des livres...,:[lookto=9]:On your left: books...
:[lookto=8]:Et sur votre droite aussi !,:[lookto=8]:And on your right too!
":[lookto=11]:Grâce à la commande \c[5]""[lookto=N]""\c[0], je peux vous faire regarder vers n'importe quel évènement !",":[lookto=11]:Thanks to \c[5]""[lookto=N]""\c[0], I can make you look towards any event!"
"Bonjour \n[1], soyez \f[la§le] bienvenu\E à la Bibliothèque de la Tour !",Hello \N[1]! You're the \f[heroine§hero] of this demo!
"J'affiche votre nom en utilisant \c[5]""\\n[1]""\c[0] dans mon message.","I can display your name by putting \c[5]""\\n[1]""\c[0] in my message."
"D'ailleurs, je m'adapte à votre genre avec \c[5]""\\E""\c[0] pour ajouter un ""E"" à la fin d'un mot, et avec \c[5]""\\f[F§M]""\c[0] pour afficher deux mots différents en fonction \nlde l'apparence que vous avez choisie.","By the way, I can adapt to your gender with \c[5]""\\f[F§M]""\c[0] to display two different words depending on the appearance you chose."
Je connais aussi les noms de vos Pokémon !,I know the names of your Pokémon as well!
"Par exemple, en première place de votre Équipe, vous avez  \c[27]\p[1]\c[0].","For instance, the first Pokémon of your Party is \c[27]\p[1]\c[0]."
Bonjour ! Je vois que vous avez \v[26]$.,Hello! I can see you currently have \v[26]$.
"Je le sais grâce à la fonction \c[5]""\\v[...]""\c[0], qui permet d'afficher une variable au sein d'un message.","I know it thanks to the \c[5]""\\v[...]""\c[0] command, that displays a variable inside a message."
"En l'occurrence, j'ai rendu la variable temporaire 26 égale à la somme d'argent que vous possédez.","In this case, I made the temporary variable 26 equal to the money you have."
"\gMais je peux aussi afficher votre argent dans une fenêtre séparée, comme ici, en écrivant \c[5]""\\g"" \c[0]n'importe où dans mon message.","\gBut I can also display it on a separate window, like that, by writing \c[5]""\\g""\c[0] anywhere in my message."
"Enfin, tout ça est bien inutile ici puisque les livres sont empruntables gratuitement !","Well, this is completely useless here because you can rent all the books for free!"
"Je cherche un livre sur la \c[2]c\c[6]o\c[3]u\c[4]l\c[1]e\c[5]u\c[7]r\c[0]. C'est fou tout ce qu'on peut faire avec la fonction \c[5]""\\c[...]"" \c[0]!","I'm looking for a book about \c[2]r\c[6]a\c[3]i\c[4]n\c[1]b\c[5]o\c[7]w\c[0]s. Crazy what you can do with \c[5]""\\c[...]""\c[0]!"
