fr,en
"Je compte vendre certains des Pokémon de ma ferme car j'en ai trop, mais j'attends l'autorisation officielle du Staff de la Tour...","I'm planning to sell some of my farm's Pokémon as I have too many, but the Tower's Staff has yet to give me the official approval..."
Reviens me voir plus tard si ça t'intéresse !,Come back again later if you're interested!
J'ai enfin obtenu l'autorisation du Staff de la Tour pour vendre mes Pokémon en trop !,I finally got the approval from the Tower's Staff to sell my extra Pokémon!
"Bienvenue à mon échoppe, petit\E !","Welcome to my stall, pal!"
"... J'aurais aimé pouvoir t'aider, mais je n'ai plus de Pokémon à te vendre.","... I would have liked to help you, but I don't have any Pokémon left to sell."
Veux-tu voir les Pokémon dont je me sépare ?,Want to have a look at the Pokémon I'm selling away?
"Tout de suite, petit\E !","Here you go, pal!"
"N'hésite pas à revenir, mes Pokémon n'attendent que toi !","Don't hesitate to come back, my Pokémon only wait for you!"
"Le plant de Baies Oran a drôlement bien poussé, ça fait plaisir à voir !","The Oran Berry plant has grown very fast, it puts a smile on my face!"
"Il manque encore un peu de temps avant que celui de Baies Sitrus n'arrive à maturité, cela dit...","With that said, there's still some time left until the Sitrus Berries grow into maturity..."
"Oh pardon, je ne t'ai pas entendu\E arriver, j'étais trop absorbée dans ma contemplation de ces merveilleux Arbres à Baies !","Oh sorry, I didn't hear you there, I was too lost in thought about these Berry trees!"
"Vois-tu, PokémonSDK est capable de \c[5]gérer directement les Baies et leur croissance\c[0].","You see, PokémonSDK is capable of \c[5]directly managing Berries and their growth\c[0]."
Il est recommandé d'\c[5]initialiser les Arbres à Baies\c[0] directement dans ton introduction.,It's recommended to directly \c[5]initialize the Berry trees\c[0] inside your introduction.
Un peu à la manière de cette démo !,As does this demo!
Pense à jeter un œil à l'intro de cette démo pour voir comment c'est fait.,You can have a look at the intro of this demo to see how it's done.
"Si tu veux cueillir celles-ci, je t'en prie, fais donc !","If you want to harvest these trees, feel free to do so!"
"Je vais aussi te donner ceci, ça te permettra d'arroser les plants de Baies, si tu en replantes.","I also want to give you this, it will allow you to water Berry plants, if you replant some."
"Tu pourras aussi arroser les Baies Sitrus juste à côté, pour les aider à pousser un peu plus vite !",You also can water this Sitrus Berries here to help fasten its growth!
"Je te laisse t'amuser à planter des Baies, moi je vais en chercher dans les coins inexplorés de l'Île !","Have fun planting Berries, I'll go search some more in the unexplored part of the Island!"
"J'ai des objets rares et super utiles à vendre, mais on m'a dit d'attendre que le dernier arrivant se rende à la Tour...\nlTu sais de qui il s'agit ?","I have some very rare and useful items to sell, but I was told to wait for the last comer to go to the Tower...\nlAny idea who it might be?"
"Le dernier arrivant s'est présenté à la Tour, ce qui veut dire que je peux enfin ouvrir ma boutique !","The last comer got to the Tower, so this means I can finally open my shop!"
Je me fournis chez des pro des combats !,I buy from some real battle professionnals!
Je te montre de suite ce que je vends.,Let me show you my stock right now.
"Désolé, je n'ai plus rien à te vendre.\nlRepasse une autre fois, peut-être ?","Sorry, got nothing left to sell.\nlCome back another time maybe?"
"Visiblement, rien de ce que je vends ne t'intéresse.\nlTant pis, repasse me voir si tu changes d'avis !","Clearly, nothing I sell seems to interest you.\nlAh, nevermind, come back again if you change your mind!"
"Merci pour ton achat, à une prochaine fois !","Thank you for your purchase, until next time!"
"Merci pour tes achats, en espérant te revoir bientôt !","Thank you for your purchases, I hope to see you again soon!"
"Tu as acheté tout mon stock !\nlJe n'ai plus rien à te vendre du coup, repasse me voir à l'occasion !","You bought my whole stock!\nlWell, I don't have anything left to sell you, come see me again sometime!"
"Salut, graîne de stratège !","Hello, budding strategist!"
"Je vends des Capsules Techniques de fou furieux, le genre d'attaque nécessaire pour faire d'un Maraiste le meilleur des stallers !","I sell some furiously mind-busting TMs, the kind of move necessary to transform a Quagsire into the best of stallers!"
