en,fr,it,de,es,ko,kana
[VAR PKNICK(0000)] was hurt!,[VAR PKNICK(0000)] est blessé !,[VAR PKNICK(0000)] è ferito!,[VAR PKNICK(0000)] wurde Schaden zugefügt!,¡[VAR PKNICK(0000)] ha resultado herido!,[VAR PKNICK(0000)][VAR 1900(0001)] 데미지를 입었다!,[VAR PKNICK(0000)]は ダメージを　{受|う}けた！
The wild [VAR PKNICK(0000)] was hurt!,"[VAR 1002][VAR 1401(0000,0001)][VAR PKNICK(0000)] sauvage est blessé !","[VAR 1002][VAR 1501(0000,0001)][VAR PKNICK(0000)] selvatico è ferito!",[VAR PKNICK(0000)] (wild) wurde Schaden zugefügt!,¡El [VAR PKNICK(0000)] salvaje ha resultado herido!,야생 [VAR PKNICK(0000)][VAR 1900(0001)] 데미지를 입었다!,{野生|やせい}の　[VAR PKNICK(0000)]は ダメージを　{受|う}けた！
The opposing [VAR PKNICK(0000)] was hurt!,"[VAR 1002][VAR 1401(0000,0001)][VAR PKNICK(0000)] ennemi est blessé !","[VAR 1002][VAR 1501(0000,0001)][VAR PKNICK(0000)] avversario è ferito!",[VAR PKNICK(0000)] (Gegner) wurde Schaden zugefügt!,¡El [VAR PKNICK(0000)] enemigo ha resultado herido!,상대 [VAR PKNICK(0000)][VAR 1900(0001)] 데미지를 입었다!,{相手|あいて}の　[VAR PKNICK(0000)]は ダメージを　{受|う}けた！
[VAR 0100(000A)]’s [VAR PKNICK(0000)] was hurt!,"[VAR 1002][VAR PKNICK(0000)] [VAR 1408(000A,0001)][VAR 0100(000A)] est blessé !","[VAR 1002][VAR 1501(0000,0001)][VAR PKNICK(0000)] di [VAR 0100(000A)] è ferito!",[VAR PKNICK(0000)] von [VAR 0100(000A)] wurde Schaden zugefügt!,¡El [VAR PKNICK(0000)] de [VAR 0100(000A)] ha resultado herido!,[VAR 0100(000A)]의 [VAR PKNICK(0000)][VAR 1900(0001)] 데미지를 입었다!,[VAR 0100(000A)]の　[VAR PKNICK(0000)]は ダメージを　{受|う}けた！
[VAR PKNICK(0000)] acquired [VAR ABILITY(0001)]!,"Le talent [VAR 1408(0000,0001)][VAR PKNICK(0000)] devient [VAR ABILITY(0001)] !",L’abilità di [VAR PKNICK(0000)] è ora [VAR ABILITY(0001)]!,[VAR PKNICK(0000)] nimmt die Fähigkeit [VAR ABILITY(0001)] an!,¡La habilidad de [VAR PKNICK(0000)] ha cambiado a [VAR ABILITY(0001)]!,[VAR PKNICK(0000)][VAR 1900(0001)] [VAR ABILITY(0001)][VAR 1900(0003)] 되었다!,[VAR PKNICK(0000)]は [VAR ABILITY(0001)]に　なった！
The wild [VAR PKNICK(0000)] acquired [VAR ABILITY(0001)]!,"Le talent [VAR 1002][VAR 1406(0000,0001)][VAR PKNICK(0000)] sauvage devient [VAR ABILITY(0001)] !","L’abilità [VAR 1002][VAR 1504(0000,0001)][VAR PKNICK(0000)] selvatico è ora [VAR ABILITY(0001)]!",[VAR PKNICK(0000)] (wild) nimmt die Fähigkeit [VAR ABILITY(0001)] an!,¡La habilidad del [VAR PKNICK(0000)] salvaje ha cambiado a [VAR ABILITY(0001)]!,야생 [VAR PKNICK(0000)][VAR 1900(0001)] [VAR ABILITY(0001)][VAR 1900(0003)] 되었다!,{野生|やせい}の　[VAR PKNICK(0000)]は [VAR ABILITY(0001)]に　なった！
The opposing [VAR PKNICK(0000)] acquired [VAR ABILITY(0001)]!,"Le talent [VAR 1002][VAR 1406(0000,0001)][VAR PKNICK(0000)] ennemi devient [VAR ABILITY(0001)] !","L’abilità [VAR 1002][VAR 1504(0000,0001)][VAR PKNICK(0000)] avversario è ora [VAR ABILITY(0001)]!",[VAR PKNICK(0000)] (Gegner) nimmt die Fähigkeit [VAR ABILITY(0001)] an!,¡La habilidad del [VAR PKNICK(0000)] enemigo ha cambiado a [VAR ABILITY(0001)]!,상대 [VAR PKNICK(0000)][VAR 1900(0001)] [VAR ABILITY(0001)][VAR 1900(0003)] 되었다!,{相手|あいて}の　[VAR PKNICK(0000)]は [VAR ABILITY(0001)]に　なった！
[VAR 0100(000A)]’s [VAR PKNICK(0000)] acquired [VAR ABILITY(0001)]!,"Le talent [VAR 1002][VAR 1408(0000,0001)][VAR PKNICK(0000)] [VAR 1408(000A,0001)][VAR 0100(000A)] devient [VAR ABILITY(0001)] !","L’abilità [VAR 1002][VAR 1504(0000,0001)][VAR PKNICK(0000)] di [VAR 0100(000A)] è ora [VAR ABILITY(0001)]!",[VAR PKNICK(0000)] von [VAR 0100(000A)] nimmt die Fähigkeit [VAR ABILITY(0001)] an!,¡La habilidad del [VAR PKNICK(0000)] de [VAR 0100(000A)] ha cambiado a [VAR ABILITY(0001)]!,[VAR 0100(000A)]의 [VAR PKNICK(0000)][VAR 1900(0001)] [VAR ABILITY(0001)][VAR 1900(0003)] 되었다!,[VAR 0100(000A)]の　[VAR PKNICK(0000)]は [VAR ABILITY(0001)]に　なった！
[VAR PKNICK(0000)] floats in the air with its Air Balloon!,[VAR PKNICK(0000)] flotte grâce à son Ballon !,[VAR PKNICK(0000)] fluttua in aria grazie al Palloncino!,[VAR PKNICK(0000)] gerät durch den Luftballon in die Schwebe!,¡[VAR PKNICK(0000)] está flotando con un Globo Helio!,[VAR PKNICK(0000)][VAR 1900(0001)] 풍선 때문에 떠 있다!,[VAR PKNICK(0000)]は ふうせんで　{浮|う}いている！
The wild [VAR PKNICK(0000)] floats in the air with its Air Balloon!,"[VAR 1002][VAR 1401(0000,0001)][VAR PKNICK(0000)] sauvage flotte grâce à son Ballon !","[VAR 1002][VAR 1501(0000,0001)][VAR PKNICK(0000)] selvatico fluttua in aria grazie a un Palloncino!",[VAR PKNICK(0000)] (wild) gerät durch den Luftballon in die Schwebe!,¡El [VAR PKNICK(0000)] salvaje está flotando con un Globo Helio!,야생 [VAR PKNICK(0000)][VAR 1900(0001)] 풍선 때문에 떠 있다!,{野生|やせい}の　[VAR PKNICK(0000)]は ふうせんで　{浮|う}いている！
