en,fr,it,de,es,ko,kana
You throw a bait at [VAR PKNICK(0000)]!,Vous lancez un Appât à [VAR PKNICK(0000)] !,You throw a bait at [VAR PKNICK(0000)]!,You throw a bait at [VAR PKNICK(0000)]!,You throw a bait at [VAR PKNICK(0000)]!,You throw a bait at [VAR PKNICK(0000)]!,You throw a bait at [VAR PKNICK(0000)]!
You throw a bait at the wild [VAR PKNICK(0000)]!,Vous lancez un Appât au [VAR PKNICK(0000)] sauvage !,You throw a bait at the wild [VAR PKNICK(0000)]!,You throw a bait at the wild [VAR PKNICK(0000)]!,You throw a bait at the wild [VAR PKNICK(0000)]!,You throw a bait at the wild [VAR PKNICK(0000)]!,You throw a bait at the wild [VAR PKNICK(0000)]!
You throw a bait at the opposing [VAR PKNICK(0000)]!,Vous lancez un Appât au [VAR PKNICK(0000)] ennemi !,You throw a bait at the opposing [VAR PKNICK(0000)]!,You throw a bait at the opposing [VAR PKNICK(0000)]!,You throw a bait at the opposing [VAR PKNICK(0000)]!,You throw a bait at the opposing [VAR PKNICK(0000)]!,You throw a bait at the opposing [VAR PKNICK(0000)]!
You throw mud at [VAR PKNICK(0000)]!,Vous lancez de la Boue sur [VAR PKNICK(0000)] !,You throw mud at [VAR PKNICK(0000)]!,You throw mud at [VAR PKNICK(0000)]!,You throw mud at [VAR PKNICK(0000)]!,You throw mud at [VAR PKNICK(0000)]!,You throw mud at [VAR PKNICK(0000)]!
You throw mud at the wild [VAR PKNICK(0000)]!,Vous lancez de la Boue sur le [VAR PKNICK(0000)] sauvage !,You throw mud at the wild [VAR PKNICK(0000)]!,You throw mud at the wild [VAR PKNICK(0000)]!,You throw mud at the wild [VAR PKNICK(0000)]!,You throw mud at the wild [VAR PKNICK(0000)]!,You throw mud at the wild [VAR PKNICK(0000)]!
You throw mud at the opposing [VAR PKNICK(0000)]!,Vous lancez de la Boue sur le [VAR PKNICK(0000)] ennemi !,You throw mud at the opposing [VAR PKNICK(0000)]!,You throw mud at the opposing [VAR PKNICK(0000)]!,You throw mud at the opposing [VAR PKNICK(0000)]!,You throw mud at the opposing [VAR PKNICK(0000)]!,You throw mud at the opposing [VAR PKNICK(0000)]!
[VAR PKNICK(0000)] is busy eating!,[VAR PKNICK(0000)] est occupé à manger est occupé à manger !,[VAR PKNICK(0000)] is busy eating!,[VAR PKNICK(0000)] is busy eating!,[VAR PKNICK(0000)] is busy eating!,[VAR PKNICK(0000)] is busy eating!,[VAR PKNICK(0000)] is busy eating!
The wild [VAR PKNICK(0000)] is busy eating!,Le [VAR PKNICK(0000)] sauvage est occupé à manger !,The wild [VAR PKNICK(0000)] is busy eating!,The wild [VAR PKNICK(0000)] is busy eating!,The wild [VAR PKNICK(0000)] is busy eating!,The wild [VAR PKNICK(0000)] is busy eating!,The wild [VAR PKNICK(0000)] is busy eating!
The opposing [VAR PKNICK(0000)] is busy eating!,Le [VAR PKNICK(0000)] ennemi est occupé à manger !,The opposing [VAR PKNICK(0000)] is busy eating!,The opposing [VAR PKNICK(0000)] is busy eating!,The opposing [VAR PKNICK(0000)] is busy eating!,The opposing [VAR PKNICK(0000)] is busy eating!,The opposing [VAR PKNICK(0000)] is busy eating!
[VAR PKNICK(0000)] is beside itself with anger!,[VAR PKNICK(0000)] est furieux !,[VAR PKNICK(0000)] is beside itself with anger!,[VAR PKNICK(0000)] is beside itself with anger!,[VAR PKNICK(0000)] is beside itself with anger!,[VAR PKNICK(0000)] is beside itself with anger!,[VAR PKNICK(0000)] is beside itself with anger!
The wild [VAR PKNICK(0000)] is beside itself with anger!,Le [VAR PKNICK(0000)] sauvage est furieux !,The wild [VAR PKNICK(0000)] is beside itself with anger!,The wild [VAR PKNICK(0000)] is beside itself with anger!,The wild [VAR PKNICK(0000)] is beside itself with anger!,The wild [VAR PKNICK(0000)] is beside itself with anger!,The wild [VAR PKNICK(0000)] is beside itself with anger!
The opposing [VAR PKNICK(0000)] is beside itself with anger!,Le [VAR PKNICK(0000)] ennemi est furieux !,The opposing [VAR PKNICK(0000)] is beside itself with anger!,The opposing [VAR PKNICK(0000)] is beside itself with anger!,The opposing [VAR PKNICK(0000)] is beside itself with anger!,The opposing [VAR PKNICK(0000)] is beside itself with anger!,The opposing [VAR PKNICK(0000)] is beside itself with anger!
[VAR PKNICK(0000)] flees!,[VAR PKNICK(0000)] prend la fuite !,[VAR PKNICK(0000)] flees!,[VAR PKNICK(0000)] flees!,[VAR PKNICK(0000)] flees!,[VAR PKNICK(0000)] flees!,[VAR PKNICK(0000)] flees!
The wild [VAR PKNICK(0000)] flees!,Le [VAR PKNICK(0000)] sauvage prend la fuite !,The wild [VAR PKNICK(0000)] flees!,The wild [VAR PKNICK(0000)] flees!,The wild [VAR PKNICK(0000)] flees!,The wild [VAR PKNICK(0000)] flees!,The wild [VAR PKNICK(0000)] flees!
The opposing [VAR PKNICK(0000)] flees!,Le [VAR PKNICK(0000)] ennemi prend la fuite !,The opposing [VAR PKNICK(0000)] flees!,The opposing [VAR PKNICK(0000)] flees!,The opposing [VAR PKNICK(0000)] flees!,The opposing [VAR PKNICK(0000)] flees!,The opposing [VAR PKNICK(0000)] flees!
[VAR PKNICK(0000)] watches you carefully…,[VAR PKNICK(0000)] vous observe attentivement…,[VAR PKNICK(0000)] watches you carefully…,[VAR PKNICK(0000)] watches you carefully…,[VAR PKNICK(0000)] watches you carefully…,[VAR PKNICK(0000)] watches you carefully…,[VAR PKNICK(0000)] watches you carefully…
The wild [VAR PKNICK(0000)] watches you carefully…,Le [VAR PKNICK(0000)] sauvage vous observe attentivement…,The wild [VAR PKNICK(0000)] watches you carefully…,The wild [VAR PKNICK(0000)] watches you carefully…,The wild [VAR PKNICK(0000)] watches you carefully…,The wild [VAR PKNICK(0000)] watches you carefully…,The wild [VAR PKNICK(0000)] watches you carefully…
The opposing [VAR PKNICK(0000)] watches you carefully…,Le [VAR PKNICK(0000)] ennemi vous observe attentivement…,The opposing [VAR PKNICK(0000)] watches you carefully…,The opposing [VAR PKNICK(0000)] watches you carefully…,The opposing [VAR PKNICK(0000)] watches you carefully…,The opposing [VAR PKNICK(0000)] watches you carefully…,The opposing [VAR PKNICK(0000)] watches you carefully…
You have no Safari Balls left!,Vous n'avez plus de Safari Ball !,You have no safari Balls left!,You have no safari Balls left!,You have no safari Balls left!,You have no safari Balls left!,You have no safari Balls left!
You have [VAR BALLS] Safari Balls left!,Il vous reste [VAR BALLS] Safari Balls !,You have [VAR BALLS] Safari Balls left!,You have [VAR BALLS] Safari Balls left!,You have [VAR BALLS] Safari Balls left!,You have [VAR BALLS] Safari Balls left!,You have [VAR BALLS] Safari Balls left!
