fr,en
":[name=Prof. Orme]:Tiens, bonjour jeune \f[Dresseuse§Dresseur] !\nlTu tombes à pic.",":[name=Professor Elm]:Hi, young Trainer!\nlThis is perfect timing."
":[name=Prof. Orme]:Mon ami, M. Pokémon, vient à l'instant de m'envoyer un Œuf.",":[name=Professor Elm]:My dear friend, Mr. Pokémon, just sent me this Egg."
":[name=Prof. Orme]:Malheureusement, je suis bloqué dans ce Laboratoire, et si je le garde, il risque de ne pas éclore de sitôt...",":[name=Professor Elm]:Unfortunately, I'm stuck in this Laboratory, and if I were to keep it, I'm afraid it wouldn't hatch soon..."
":[name=Prof. Orme]:Tu veux bien t'en occuper, dis ?",":[name=Professor Elm]:Could you look after it, please?"
:[name=Prof. Orme]:Merveilleux !\nlPrends-en bien soin.,:[name=Professor Elm]:Wonderful!\nlTake good care of it.
\c[18]\N[1] reçoit l'Œuf de la part du Professeur Orme ! [WAIT 150],\c[18]\N[1] received the Egg from Professor Elm![WAIT 150]
":[name=Prof. Orme]:Pour donner un Œuf de Pokémon, il suffit d'utiliser la commande \c[5]""add_egg({...})""\c[0].",":[name=Professor Elm]:To give a Pokémon Egg, just use the \c[5]""add_egg({...})""\c[0] command."
":[name=Prof. Orme]:Tu peux rentrer tout un tas d'informations à l'intérieur des accolades, comme l'ID du Pokémon, ses statistiques, ses attaques...",":[name=Professor Elm]:You can enter a lot of informations in braces, like the ID of the Pokémon, its stats, its moves..."
:[name=Prof. Orme]:Je trouve les Œufs de Pokémon fascinants !,":[name=Professor Elm]:Pokémon Eggs are fascinating, aren't they?"
":[name=Prof. Orme]:Quel dommage... Il peut contenir un Pokémon rare, tu sais !",":[name=Professor Elm]:What a shame... It could contain a rare Pokémon, you know!"
":[name=Prof. Orme]:Oh, c'est toi.",":[name=Professor Elm]:Oh, it's you."
:[name=Prof. Orme]:Il n'a pas encore éclot.,:[name=Professor Elm]:It hasn't hatched yet.
":[name=Prof. Orme]:Apparemment, marcher avec un Œuf l'aide à le faire éclore !",":[name=Professor Elm]:Apparently, walking with an Egg helps it hatch!"
:[name=Prof. Orme]:Waouh ! Un Azurill est sorti de l'Œuf.,:[name=Professor Elm]:Wow! Azurill came out of the Egg.
:[name=Prof. Orme]:Il peut évoluer en un Pokémon très puissant.,:[name=Professor Elm]:It can evolve into a strong Pokémon.
:[name=Prof. Orme]:Je trouve les Œufs de Pokémon fascinants !,":[name=Professor Elm]:Pokémon Eggs are fascinating, aren't they?"
"Bonjour, jeune Maker !","Hello, young Maker!"
On m'appelle le Spécialiste des noms.,I am the official Name Rater!
Veux-tu renommer un Pokémon de ton équipe ?,Want me to rate the nicknames of your Pokémon?
Quel Pokémon veux-tu que je renomme ?,Which Pokémon's nickname should I critique?
"Mais enfin, tu peux pas renommer un Œuf, c'est bien connu !","Now, now. That is merely an Egg! An Egg can go by no other name!"
"Hm, [POKE], tu dis ? C'est un nom intéressant, mais je pense qu'on peut trouver mieux.","[POKE], is it? Hmm... That is a decent nickname!\nlBut, I can give it a nicer name? How about it?"
Mais enfin ! Tu te moques de moi ?,It looks no different from before?\nlThat's just you! This is vastly superior! How fortunate for you!
"C'est beaucoup plus original, tu ne trouves pas ?","It is a better name than before, isn't it? Good for you!"""
"Je reste là, si tu changes d'avis.","Ah, good. I see. Do come visit again if you change your mind."
Je peux tout te dire sur le type de la puissance cachée de ton équipe.,I’ll tell you what type your Pokémon’s Hidden Power will be.
C'est ma puissance cachée à moi.,My own hidden power lets me do that.
"Si ce Pokémon apprenait [MOVE], ce serait une capacité de type [POWER].","If this Pokémon were to learn [MOVE], the move’s type would be [POWER]."
"Si tu changes d'avis, fais-le moi savoir, et je mettrai ma puissance cachée à ton service.","If you want to know, ask me, and I’ll activate my hidden power for you."
Oui-hi-hi !,Woo-hoo-hoo!
Je peux imiter le cri de n'importe quel Pokémon !\nlYoupi-li-pou !,I can mimic any Pokémon's cry!\nlYahoo-dee-lah!
Il va falloir attendre un peu avant que je puisse imiter ce Pokémon...,You'll have to wait a bit more before I can mimic this Pokémon's cry...
C'est le cri de [POKE] ! Oui-hi-hi ![WAIT 50],That's the cry of [POKE]! Woo-hoo-hoo![WAIT 50]
Quelle douce mélodie !,What a nice melody!
Ah ! Te voilà !:[name=Prof. Seko]:,There you are!:[name=Professor Birch]:
Le Staff nous a prévenu que tu viendrais.:[name=Prof. Seko]:,The Staff members told us you'd come.:[name=Professor Birch]:
Tu as pu explorer un peu l'Île ?:[name=Prof. Seko]:,Were you able to explore the Island a little?:[name=Professor Birch]:
Tu as dû rencontrer toute une variété de Pokémon.:[name=Prof. Seko]:,You must have seen a whole variety of Pokémon.:[name=Professor Birch]:
Mais ! Il semblerait qu'on ait complètement oublié de te donner un Pokédex !:[name=Prof. Seko]:,Wait! It looks like we forgot to give you a Pokédex!:[name=Professor Birch]:
Laisse-moi régler ça...:[name=Prof. Seko]:,Let me handle this...:[name=Professor Birch]:
\c[18]\N[1] reçoit le Pokédex de la part du Prof. Seko ! [WAIT 120],\c[18]\N[1] received the Pokédex from Professor Birch![WAIT 120]
C'est un outil très performant qui te permettra de collecter un tas d'informations sur les Pokémon que tu rencontres.:[name=Prof. Seko]:,It's a high-tech tool that automatically collects a bunch of data on Pokémon you've seen or caught.:[name=Professor Birch]:
N'hésite pas à venir me voir à mon bureau pour que je l'évalue.:[name=Prof. Seko]:,Feel free to come to my desk to show me your Pokédex.:[name=Professor Birch]:
"Qui sait, je pourrais peut-être t'offrir quelque chose d'intéressant...:[name=Prof. Seko]:","Who knows, I could offer you something interesting...:[name=Professor Birch]:"
Un lave-linge.\nlIl est équipé d'un étrange moteur.,It’s a washing machine.\nlIt has an odd-shaped motor on it.
Voulez-vous faire sortir Motisma de sa Poké Ball ?,Do you want to let Rotom out of its Poké Ball?
Oh ? On dirait que [POKE] veut entrer dans le moteur.,Oh? [POKE] appears as if it wants to go into the motor.
Le laisser entrer dans le moteur ?,Allow it to enter the motor?
[POKE] est entré dans le moteur.,[POKE] entered the motor.
[POKE] renonce malgré lui à entrer dans le moteur du lave-linge...,[POKE] reluctantly gave up on entering the washing machine’s motor...
[POKE] reprend sa forme d'origine.,[POKE] returned to its original form.
Oh ? On dirait que [POKE] veut entrer dans le moteur.,Oh? [POKE] appears as if it wants to go into the motor.
Le laisser entrer dans le moteur ?,Allow it to enter the motor?
Rappeler,Recall
[POKE] est entré dans le moteur.,[POKE] entered the motor.
[POKE] renonce malgré lui à entrer dans le moteur du ventilateur...,[POKE] reluctantly gave up on entering the rotary fan’s motor...
[POKE] est sorti du moteur.,[POKE] emerged from the motor.
Ça ne fonctionnera pas avec ce Pokémon.,That Pokémon can’t enter a motor.
Un four à micro-ondes.\nlIl est équipé d'un étrange moteur.,It’s a microwave oven.\nlIt has an odd-shaped motor on it.
Voulez-vous faire sortir Motisma de sa Poké Ball ?,Do you want to let Rotom out of its Poké Ball?
Oh ? On dirait que [POKE] veut entrer dans le moteur.,Oh? [POKE] appears as if it wants to go into the motor.
Le laisser entrer dans le moteur ?,Allow it to enter the motor?
[POKE] est entré dans le moteur.,[POKE] entered the motor.
[POKE] renonce malgré lui à entrer dans le moteur du ventilateur...,[POKE] reluctantly gave up on entering the rotary fan’s motor...
[POKE] reprend sa forme d'origine.,[POKE] returned to its original form.
Oh ? On dirait que [POKE] veut entrer dans le moteur.,Oh? [POKE] appears as if it wants to go into the motor.
Le laisser entrer dans le moteur ?,Allow it to enter the motor?
Rappeler,Recall
[POKE] est entré dans le moteur.,[POKE] entered the motor.
[POKE] renonce malgré lui à entrer dans le moteur du ventilateur...,[POKE] reluctantly gave up on entering the rotary fan’s motor...
[POKE] est sorti du moteur.,[POKE] emerged from the motor.
Ça ne fonctionnera pas avec ce Pokémon.,That Pokémon can’t enter a motor.
Une tondeuse.\nlElle est équipée d'un étrange moteur.,It’s a lawn mower.\nlIt has an odd-shaped motor on it.
Voulez-vous faire sortir Motisma de sa Poké Ball ?,Do you want to let Rotom out of its Poké Ball?
Oh ? On dirait que [POKE] veut entrer dans le moteur.,Oh? [POKE] appears as if it wants to go into the motor.
Le laisser entrer dans le moteur ?,Allow it to enter the motor?
[POKE] est entré dans le moteur.,[POKE] entered the motor.
[POKE] renonce malgré lui à entrer dans le moteur du ventilateur...,[POKE] reluctantly gave up on entering the rotary fan’s motor...
[POKE] reprend sa forme d'origine.,[POKE] returned to its original form.
Oh ? On dirait que [POKE] veut entrer dans le moteur.,Oh? [POKE] appears as if it wants to go into the motor.
Le laisser entrer dans le moteur ?,Allow it to enter the motor?
Rappeler,Recall
[POKE] est entré dans le moteur.,[POKE] entered the motor.
[POKE] renonce malgré lui à entrer dans le moteur du ventilateur...,[POKE] reluctantly gave up on entering the rotary fan’s motor...
[POKE] est sorti du moteur.,[POKE] emerged from the motor.
Ça ne fonctionnera pas avec ce Pokémon.,That Pokémon can’t enter a motor.
Un réfrigérateur.\nlIl est équipé d'un étrange moteur.,It’s a refrigerator.\nlIt has an odd-shaped motor on it.
Voulez-vous faire sortir Motisma de sa Poké Ball ?,Do you want to let Rotom out of its Poké Ball?
Oh ? On dirait que [POKE] veut entrer dans le moteur.,Oh? [POKE] appears as if it wants to go into the motor.
Le laisser entrer dans le moteur ?,Allow it to enter the motor?
[POKE] est entré dans le moteur.,[POKE] entered the motor.
[POKE] renonce malgré lui à entrer dans le moteur du ventilateur...,[POKE] reluctantly gave up on entering the rotary fan’s motor...
[POKE] reprend sa forme d'origine.,[POKE] returned to its original form.
Oh ? On dirait que [POKE] veut entrer dans le moteur.,Oh? [POKE] appears as if it wants to go into the motor.
Le laisser entrer dans le moteur ?,Allow it to enter the motor?
Rappeler,Recall
[POKE] est entré dans le moteur.,[POKE] entered the motor.
[POKE] renonce malgré lui à entrer dans le moteur du ventilateur...,[POKE] reluctantly gave up on entering the rotary fan’s motor...
[POKE] est sorti du moteur.,[POKE] emerged from the motor.
Ça ne fonctionnera pas avec ce Pokémon.,That Pokémon can’t enter a motor.
Un ventilateur.\nlIl est équipé d'un étrange moteur.,It’s a rotary fan.\nlIt has an odd-shaped motor on it.
Voulez-vous faire sortir Motisma de sa Poké Ball ?,Do you want to let Rotom out of its Poké Ball?
Oh ? On dirait que [POKE] veut entrer dans le moteur.,Oh? [POKE] appears as if it wants to go into the motor.
Le laisser entrer dans le moteur ?,Allow it to enter the motor?
[POKE] est entré dans le moteur.,[POKE] entered the motor.
[POKE] renonce malgré lui à entrer dans le moteur du ventilateur...,[POKE] reluctantly gave up on entering the rotary fan’s motor...
[POKE] reprend sa forme d'origine.,[POKE] returned to its original form.
Oh ? On dirait que [POKE] veut entrer dans le moteur.,Oh? [POKE] appears as if it wants to go into the motor.
Le laisser entrer dans le moteur ?,Allow it to enter the motor?
Rappeler,Recall
[POKE] est entré dans le moteur.,[POKE] entered the motor.
[POKE] renonce malgré lui à entrer dans le moteur du ventilateur...,[POKE] reluctantly gave up on entering the rotary fan’s motor...
[POKE] est sorti du moteur.,[POKE] emerged from the motor.
Ça ne fonctionnera pas avec ce Pokémon.,That Pokémon can’t enter a motor.
Motisma a une remarquable aptitude à intégrer certains moteurs.,"Remarkably, Rotom has the ability to enter and merge with special motors."
Sa capacité à fusionner avec toutes sortes d'appareils est fascinante !,Fascinating how it can integrate all kinds of machines!
"Oh, mais je vois que tu en possèdes un !","Oh, I see you have one with you!"
Il a même une forme spéciale !,It even has a special form!
Je vois que tu maîtrises tout ce qu'il y a à savoir sur ce merveilleux Pokémon qu'est Motisma.,It looks like you master everything there is to know about this wonderful Pokémon.
Tu devrais aller jeter un œil aux machines situées derrière moi !,You should take a look at the devices behind me!
J'ai entendu dire qu'on pouvait en trouver dans un débarras situé au sous-sol de la Tour...,I heard you could find one in a storage room located under the Tower...
Mais comment y accéder ?,But I don't know how to get there...
Je suis un grand fan de Porygon et de toute sa famille !,I'm a big fan of Porygon and its family!
J'ai même entendu dire qu'ils préféraient être stockés dans le PC que de rester avec leur Dresseur...,I heard they sometimes prefered to be kept in the Storage System rather than with their Trainer...
"Tu as un Porygon ou un Pokémon de sa famille dans ton PC, toi ?\nlJe peux le vérifier avec \c[5]""$storage.any_pokemon?""\c[0].","Do you have a Porygon or one of its evolution in your PC?\nlI can check with \c[5]""$storage.any_pokemon?""\c[0]."
Super ! Il doit s'y sentir super bien.,Amazing! It must feel at ease.
Hmm... Dommage.,Hmm... Too bad.
Je suis un fou des Pokémon chromatiques !,I'm a Shinies fanatic!
"Tu sais, ce sont ces Pokémon qui ont une couleur inhabituelle.","You know, shiny Pokémon have an unusual coloration."
Tu en as déjà attrapé un ?,Have you ever caught one?
Oh ! Magnifique !\nlTon [POKE] est si beau !,Oh! Splendid!\nlYour [POKE] is breathtaking!
Dis...[WAIT 60] Tu ne voudrais pas me le donner ?,Look...[WAIT 60] Would you give it to me?
...,...
Non ?,No?
Tant pis...,Too bad...
"Hum... Je m'y connais très bien en Pokémon chromatiques, et ton [POKE] n'en est pas un.",Hmm... I know a lot about shiny Pokémon and your [POKE] isn't one of them.
"Ce sont des Pokémon très rares à trouver, en effet...","These Pokémon are quite rare, indeed..."
"D'ailleurs, j'ai découvert une technique intéressante pour en débusquer plus facilement.","Speaking of which, I discovered a very interesting technic to flush them out easily."
"Si tu pêches des Pokémon à la chaîne, sans bouger de ton spot, les chances de ferrer un Pokémon chromatique augmentent progressivement.","If you chain-fish Pokémon, without moving from your spot, chances to catch a shiny Pokémon will progressively increase."
"Alors, comment se passe la complétion de ton Pokédex ?:[name=Prof. Seko]:","So, how’s your Pokédex coming along?:[name=Professor Birch]:"
Je peux facilement vérifier le nombre de Pokémon vus ou attrapés grâce aux \c[5]variables 2 et 3\c[0].:[name=Prof. Seko]:,I can easily check the number of Pokémon you've seen or caught with the \c[5]variables 2 and 3\c[0].:[name=Professor Birch]:
"Hm, voyons voir...\nlTu as vu \v[2] Pokémon et tu en as capturé \v[3] !:[name=Prof. Seko]:","Hmm, let's see...\nlYou've seen \v[2] Pokémon, and you've caught \v[3] Pokémon!:[name=Professor Birch]:"
Incroyable ! Tu as vu plus de 40 Pokémon différents sur l'Île ![WAIT 400]:[name=Prof. Seko]:,Excellent! You've seen more than 40 Pokémon on the Island![WAIT 400]:[name=Professor Birch]:
Tu as un talent certain pour débusquer des Pokémon !:[name=Prof. Seko]:,You seem to be good at collecting Pokémon!:[name=Professor Birch]:
"Comme promis, je te remets ma Pierre Insolite.:[name=Prof. Seko]:","As promised, here's my Intriguing Stone.:[name=Professor Birch]:"
"Tu me serais d'une aide certaine dans ma région natale, à Hoenn...:[name=Prof. Seko]:","You'd help me a lot in my home region, in Hoenn...:[name=Professor Birch]:"
Tu as de plus en plus de Pokémon enregistrés ! Continue comme ça ![WAIT 200]:[name=Prof. Seko]:,Your Pokédex is really filling up. Keep up the good work![WAIT 200]:[name=Professor Birch]:
"Quand tu auras vu plus de 40 Pokémon différents, je t'offrirai une Pierre Insolite !:[name=Prof. Seko]:","When you've seen at least 40 different Pokémon, I'll give you an Intriguing Stone!:[name=Professor Birch]:"
