fr,en
\c[18]Bonjour et bienvenue à la borne de réservation de combat !,\c[18]Hello and welcome to the battle reservation terminal!
\c[18]Souhaitez-vous réserver un combat spécifique ?,\c[18]Do you want to reserve a specific battle?
\c[18]Quel combat voulez-vous réserver ?,\c[18]Which battle do you want to reserve?
"\c[18]Excellent choix, nous programmons votre combat dans les meilleurs délais.","\c[18]Excellent choice, we're programming your battle in the shortest possible time."
\c[18]Veuillez vous rendre à l'arène.,\c[18]Please head to the stage.
"\c[18]Mais avant, merci de sélectionner les deux Pokémon qui vous accompagneront pour ce combat.","\c[18]But before, please select the two Pokémon you will be fighting with."
"\c[18]Une équipe n'a pas été sélectionnée, le combat a été décommandé.","\c[18]No team was selected, the battle was cancelled. "
"\c[18]Votre choix a bien été enregistré.\nlMerci de votre patience, le combat va bientôt démarrer.","\c[18]Your choice was successfully registered.\nlThank you for your patience, the battle will start soon."
\c[18]Merci d'avoir utilisé la borne de réservation de combat.\nlNous vous souhaitons une agréable journée !,\c[18]Thank you for using the battle reservation terminal.\nlWe wish you a pleasant day!
":[name=Palbolsky]:Bienvenue à tous, chers spectateurs !",":[name=Palbolsky]:Welcome to you all, dear spectators!"
":[name=Palbolsky]:Ce combat sera un combat solo, avec aucune limite en nombre de Pokémon !",":[name=Palbolsky]:This battle will be a solo battle, with no limit in the number of usable Pokémon!"
":[name=Palbolsky]:À ma gauche, vous pourrez y retrouver [CLASS] [NAME], le finaliste du précédent tournoi !",":[name=Palbolsky]:On my left, you'll find [CLASS] [NAME], the finalist of the last tournament!"
":[name=Palbolsky]:À ma droite, le nouveau challenger fraîchement arrivé\E sur l'Île, que vous connaissez peut-être...",":[name=Palbolsky]:On my right, the freshly arrived new challenger on the Island, as you may know..."
:[name=Palbolsky]:J'ai nommé... \N[1] !,:[name=Palbolsky]:I named... \N[1]!
":[name=Palbolsky]:Challengers, êtes-vous prêts ?",":[name=Palbolsky]:Challengers, are you ready?"
:[name=Palbolsky]:Démarrez !,:[name=Palbolsky]:Start!
":[name=[NAME]]:Mon Rattatac est encore plus fort que lors du tournoi, tu vas morfler !",":[name=[NAME]]:My Raticate is even stronger than during the tournament, you're gonna suffer!"
:[name=Palbolsky]:Et c'est une victoire pour \N[1] !,:[name=Palbolsky]:Victory goes to \N[1]!
:[name=Palbolsky]:J'inscris cette victoire à l'ordinateur...,:[name=Palbolsky]:I'll add this victory to the computer...
:[name=Palbolsky]:Que vois-je ? \N[1] a vaincu tous mes apprentis ?,":[name=Palbolsky]:Oh, what do I see? \N[1] won against all my apprentices?"
":[name=Palbolsky]:Mesdames et messieurs, le moment que vous attendiez tous est arrivé !",":[name=Palbolsky]:Ladies and gentlemen, the moment you've all been waiting for is here!"
:[name=Palbolsky]:Un challenger a débloqué le droit de me combattre !\nlRestez dans les environs pour assister à un match d'anthologie !,:[name=Palbolsky]:A new challenger unlocked the right to fight me!\nlStick around to watch a match to remember!
":[name=Palbolsky]:Oh ! Il ne reste plus qu'un seul combat à gagner pour \N[1] avant de pouvoir m'affronter !\nlTiens le coup, graine de \f[championne§champion] !",":[name=Palbolsky]:Oh! There's only one battle left for \N[1] before they can battle me!\nlKeep it up, champion in the making!"
:[name=Palbolsky]:Oh ! Il ne reste que \V[26] combats à gagner pour \N[1] avant de pouvoir m'affronter !,:[name=Palbolsky]:Oh! There's still \V[26] battles left to win for \N[1] before they can challenge me!
:[name=Palbolsky]:La victoire revient à [NAME] !,:[name=Palbolsky]:Victory goes to [NAME]!
":[name=Palbolsky]:En tout cas, ce fut un match d'une grande intensité, j'espère que vous l'avez ressenti aussi dans les gradins !",":[name=Palbolsky]:Anyway, it was a match of great intensity, I hope you felt it all the way to the stands!"
":[name=Palbolsky]:Challengers, je vais soigner vos Pokémon pour que vous n'ayez pas à aller au Centre Pokémon.",":[name=Palbolsky]:Challengers, I'll heal your Pokémon so you don't have to go to the Pokémon Center."
":[name=Palbolsky]:N'hésitez pas à revenir vous battre si vous le voulez, c'est toujours un plaisir d'assister à des matchs aussi passionnants !",":[name=Palbolsky]:Don't hesitate to come battle again if you feel like it, it's always a pleasure to attend to such passionating battles!"
":[name=Palbolsky]:Chers spectateurs, merci d'être venus, et à la prochaine !",":[name=Palbolsky]:Dear spectators, thank you for coming, and see you all next time!"
:[name=Palbolsky]:Bienvenue à tous chers spectateurs !,":[name=Palbolsky]:Welcome to you all, dear spectators!"
