en,fr,it,de,es,ko,kana
Kalos Champion Ribbon,Ruban Maître de Kalos,Fiocco Campione Kalos,Band des Kalos-Champs,Cinta Campeón de Kalos,칼로스챔피언리본,カロス　チャンプリボン
Champion Ribbon,Ruban Maître,Fiocco Campione,Band des Champs,Cinta de Campeón,챔피언리본,チャンプリボン
Sinnoh Champion Ribbon,Ruban Maître de Sinnoh,Fiocco Campione Sinnoh,Band des Sinnoh-Champs,Cinta Campeón de Sinnoh,신오챔피언리본,シンオウ　チャンプリボン
Best Friends Ribbon,Ruban Affection,Fiocco Amicizia,Zutraulichkeitsband,Cinta Afecto,절친리본,なかよしリボン
Training Ribbon,Ruban Perfectionnement,Fiocco Training,Trainingsband,Cinta Ejercicio,수행리본,しゅぎょうリボン
Skillful Battler Ribbon,Ruban Élite du Combat,Fiocco Asso della Lotta,Profikampfband,Cinta Figura del Combate,그레이트배틀리본,グレートバトルリボン
Expert Battler Ribbon,Ruban Génie du Combat,Fiocco Genio della Lotta,Meisterkampfband,Cinta As del Combate,마스터배틀리본,マスターバトルリボン
Effort Ribbon,Ruban Effort,Fiocco Merito,Fleiß-Band,Cinta Esfuerzo,노력리본,がんばリボン
Alert Ribbon,Ruban Alerte,Fiocco Allarme,Band der Wachsamkeit,Cinta Alerta,뚝심리본,しゃっきリボン
Shock Ribbon,Ruban Choc,Fiocco Stupore,Band des Schocks,Cinta Impacto,철렁리본,どっきリボン
Downcast Ribbon,Ruban Déprime,Fiocco Sconforto,Band der Traurigkeit,Cinta Abatimiento,풀죽기리본,しょんぼリボン
Careless Ribbon,Ruban Négligence,Fiocco Indolenza,Band der Sorglosigkeit,Cinta Descuido,덜렁이리본,うっかリボン
Relax Ribbon,Ruban Détente,Fiocco Relax,Band der Entspannung,Cinta Relax,상쾌리본,すっきリボン
Snooze Ribbon,Ruban Sieste,Fiocco Pisolino,Band des Schlafens,Cinta Cabezada,잠보리본,ぐっすリボン
Smile Ribbon,Ruban Sourire,Fiocco Sorriso,Band des Lächelns,Cinta Sonrisa,방글방글리본,にっこリボン
Gorgeous Ribbon,Ruban Sublime,Fiocco Meraviglia,Hinreißendes Band,Cinta Maravilla,고저스리본,ゴージャスリボン
Royal Ribbon,Ruban Royal,Fiocco Reale,Königliches Band,Cinta Realeza,로열리본,ロイヤルリボン
Gorgeous Royal Ribbon,Ruban Royal Sublime,Fiocco Meraviglia Reale,Hinreißendes Königliches Band,Cinta Realeza Maravilla,고저스로열리본,ゴージャスロイヤルリボン
Artist Ribbon,Ruban Artiste,Fiocco Artista,Band des Künstlers,Cinta Artista,브로마이드리본,ブロマイドリボン
Footprint Ribbon,Ruban Empreinte,Fiocco Orma,Fußabdruck-Band,Cinta Huella,발자국리본,あしあとリボン
Record Ribbon,Ruban Record,Fiocco Record,Rekordband,Cinta Récord,레코드리본,レコードリボン
Legend Ribbon,Ruban Légende,Fiocco Leggenda,Band der Legende,Cinta Leyenda,레전드리본,レジェンドリボン
Country Ribbon,Ruban Pays,Fiocco Paese,Band des Landes,Cinta Campo,컨트리리본,カントリーリボン
National Ribbon,Ruban National,Fiocco Nazionale,Band der Nation,Cinta Nacional,내셔널리본,ナショナルリボン
Earth Ribbon,Ruban Terre,Fiocco Geo,Band der Erde,Cinta Planeta,어스리본,アースリボン
World Ribbon,Ruban Monde,Fiocco Mondiale,Band der Welt,Cinta Mundo,월드리본,ワールドリボン
Classic Ribbon,Ruban Classique,Fiocco Classico,Klassisches Band,Cinta Clásica,클래식리본,クラシックリボン
Premier Ribbon,Ruban Premier,Fiocco Principale,Premierband,Cinta Principal,프리미어리본,プレミアリボン
Event Ribbon,Ruban Événement,Fiocco Evento,Veranstaltungsband,Cinta Evento,이벤트리본,イベントリボン
Birthday Ribbon,Ruban Anniversaire,Fiocco Compleanno,Geburtstagsband,Cinta Cumpleaños,버스데이리본,バースデーリボン
Special Ribbon,Ruban Spécial,Fiocco Speciale,Sonderband,Cinta Especial,스페셜리본,スペシャルリボン
Souvenir Ribbon,Ruban Souvenir,Fiocco Ricordo,Gedenkband,Cinta Recuerdo,메모리얼리본,メモリアルリボン
Wishing Ribbon,Ruban Souhait,Fiocco Desiderio,Wunschband,Cinta Deseo,위시리본,ウィッシュリボン
Battle Champion Ribbon,Ruban Vainqueur Championnat,Fiocco Campione Lotta,Kampfmeisterband,Cinta Campeón de Torneo,배틀챔피언리본,バトルチャンプリボン
Regional Champion Ribbon,Ruban Champion Régional,Fiocco Campione Locale,Regionalmeisterband,Cinta Campeón de Área,에리어챔피언리본,エリアチャンプリボン
National Champion Ribbon,Ruban Champion National,Fiocco Campione Nazionale,Nationalmeisterband,Cinta Campeón Nacional,내셔널챔피언리본,ナショナルチャンプリボン
World Champion Ribbon,Ruban Champion du Monde,Fiocco Campione Mondiale,Weltmeisterband,Cinta Campeón Mundial,월드챔피언리본,ワールドチャンプリボン
Contest Memory Ribbon,Ruban Souvenir Concours,Fiocco Ricordo delle Gare,Wettbewerbsgedenkband,Cinta Recuerdo de Concurso,추억콘테스트리본,おもいでコンテストリボン
Battle Memory Ribbon,Ruban Souvenir Combat,Fiocco Ricordo delle Lotte,Kampfgedenkband,Cinta Recuerdo de Combate,추억배틀리본,おもいでバトルリボン
Hoenn Champion Ribbon,Ruban Maître de Hoenn,Fiocco Campione Hoenn,Band des Hoenn-Champs,Cinta Campeón de Hoenn,호연챔피언리본,ホウエン　チャンプリボン
