fr,en
Je peux apprendre un petit tour à un Pokémon qui te suit.,I can teach a little trick to following Pokémon.
Il faudrait qu'un seul Pokémon te suive...,But only one Pokémon would have to follow you...
Tu peux demander au Pokéfan assis juste à droite de modifier le nombre de Pokémon qui te suivent et revenir me voir !,You can ask the Pokéfan seated on the right to change the number of following Pokémon and come back!
Regarde un peu ça.,Check that.
"[POKE], fais un pas en arrière !","[POKE], do a backstep!"
"Maintenant, saute !","Now, jump!"
"Et maintenant, fais un tour sur toi-même !","And now, do a spin!"
"Très bien, [POKE] !","Very good, [POKE]!"
Reviens là.,Come back.
Et voilà !,Et voilà!
Modifier la \c[5]variable 21\c[0] permet d'effectuer les déplacements normalement appliqués au joueur sur le Pokémon sélectionné.,"By changing the \c[5]variable 21\c[0], you can apply the move routes of the player to the selected Pokémon."
"Ah, je vois que tu préfères garder tes Pokémon dans leurs Poké Balls...","Oh, I see you prefer to keep your Pokémon inside their Poké Balls..."
Une diode verte parcourt l'écran de la machine.,A green light flashes across the screen.
La machine située juste à côté dispose d'un petit écran animé.,The machine right there has a little animated screen.
"J'ai installé la commande \c[5]""animate_from_charset""\c[0] dessus pour l'animer plus facilement.","I installed the \c[5]""animate_from_charset""\c[0] command on it to animate it easily."
"On peut l'insérer directement dans les configurations de mouvement d'un évènement, mais aussi au sein d'un évènement séparé.","You can directly put it inside the autonomous movement settings of an event, but also in a distinct event as well."
Cette commande permet d'animer une ou plusieurs lignes du character d'un évènement.,Use this command to animate one or several lines of an event's character.
"Il suffit d'indiquer quelles lignes animer, et la durée totale de l'animation !",You just need to indicate which lines to animate and the total duration of the animation!
"On peut même lire l'animation en boucle (\c[5]""repeat: true""\c[0]) ou à l'envers (\c[5]""reverse: true""\c[0]).","You can even loop the animation (\c[5]""repeat: true""\c[0]) or reverse it (\c[5]""reverse: true""\c[0])."
Je m'entraîne pour un marathon.,I'm training for a marathon.
"Mon Cradopaud me suit à la trace car il a le \c[5]nametag ""[follow=ID]""\c[0] et que j'ai mis mon ID dedans.","My Croagunk is following me because I put the \c[5]nametag ""[follow=ID]""\c[0] in its name and I filled in my ID."
Cradooo !,Croaaa!
"Salut !\nlSi tu veux, je peux faire en sorte que le Pokémon qui te suit ne soit pas forcément le premier de ton équipe.","Hi!\nlIf you want, I can make it so the Pokémon that follows you isn't necessarily the first in your Party."
Ça te dit ?,Would you like?
Laisse-moi juste changer un petit truc...[WAIT 60]\nlVoilà !,Let me just change a little something...[WAIT 60]\nlThere it is!
"Maintenant, tu n'as qu'à sélectionner le Pokémon que tu veux directement depuis le menu d'équipe.","Now, you can simply select the Pokémon you want in your Party menu."
"Chacun ses préférences, après tout.","Each to their own, after all."
"Le mode ""Let's Go"" ne te convient plus ?\nlJe peux le désactiver, si tu veux.","Tired of the ""Let's Go"" mode?\nlI can disable it, if you want."
"C'est fait !\nlSi tu veux réactiver les Pokémon suiveurs, reviens me voir, ou vas parler au Pokéfan juste en face de moi.","Done!\nlIf you want to enable the followers, come see me or the Pokéfan just in front of me."
C'est quand même plus sympa comme ça !,"It's nicer this way, isn't it?"
J'analyse les habitudes de déplacement des gens.,I study people's travel habits.
Je peux te suivre un moment ?,Can I follow you for a while?
Je remarque tu es déjà suivi.,I notice you're already followed.
Tu préfères garder tes Pokémon dehors ou les ranger ?,Would you like to keep your Pokémon outside or recall them?
Les laisser dehors,Keep outside
Les ranger,Recall
Ok !,Ok!
Ok !,Ok!
Fais comme si je n'étais pas là.,Act like if I wasn't there.
"Je ne suis pas un type louche, je te jure !","I'm not a weirdo, I swear!"
Hum... Très intéressant.,Hmm... Very interesting.
Ah ! Je n'aurais pas fait ça comme ça.,Oh! I wouldn't have done it that way.
Fascinant !,Fascinating!
Quel drôle de trajectoire !,What a funny trajectory!
Oh ? Fais comme si je n'étais pas là.,Oh? Act like if I wasn't there.
"Pfiou, quelle foulée !","Phew, what a stride!"
Tu veux qu'on s'arrête là ?,Do you want to stop there?
Je vais retourner à ma place alors.,"I'll go back to my spot, then."
"Super, j'ai encore des notes à prendre !","Great, I still have notes to take!"
:[name=Nuri Yuri]:J'aime bien traîner dans cet endroit.,I like hanging out in this place.:[name=Nuri Yuri]:
":[name=Nuri Yuri]:Si tu réponds bien à toutes mes questions, je t'offrirai une jolie babiole !","If you answer all my questions, I'll give you a pretty trinket!:[name=Nuri Yuri]:"
:[name=Nuri Yuri]:Ça te dit ?,Are you in?:[name=Nuri Yuri]:
Allons-y !,Let's go!
Une autre fois...,Later...
:[name=Nuri Yuri]:Question 1 :\nlQuel est le nametag pour supprimer l'ombre sous un évènement ?,Question 1:\nlWhat is the nametag to delete the shadows under an event?:[name=Nuri Yuri]:
$,$
*,*
§,§
[no_shadow],[no_shadow]
:[name=Nuri Yuri]:Mauvaise réponse !\nlEssaie encore...[WAIT 40],Wrong!\nlTry again...[WAIT 40]:[name=Nuri Yuri]:
:[name=Nuri Yuri]:Mauvaise réponse !\nlEssaie encore...[WAIT 40],Wrong!\nlTry again...[WAIT 40]:[name=Nuri Yuri]:
:[name=Nuri Yuri]:Bonne réponse ![WAIT 40]\nlQuestion suivante.,Correct![WAIT 40]\nlNext question.:[name=Nuri Yuri]:
:[name=Nuri Yuri]:Mauvaise réponse !\nlEssaie encore...[WAIT 40],Wrong!\nlTry again...[WAIT 40]:[name=Nuri Yuri]:
:[name=Nuri Yuri]:Question 2 :\nlComment modifier la hauteur d'un évènement ?,Question 2:\nlHow can you change the height of an event?:[name=Nuri Yuri]:
"Boucle et ""offset_screen_y""","With a loop and ""offset_screen_y"""
Nametag [fly],Nametag [fly]
Commande Déplacer,Set Move Route
C'est impossible,It's impossible
:[name=Nuri Yuri]:Bonne réponse ![WAIT 40]\nlQuestion suivante.,Correct![WAIT 40]\nlNext question.:[name=Nuri Yuri]:
:[name=Nuri Yuri]:Mauvaise réponse !\nlEssaie encore...[WAIT 40],Wrong!\nlTry again...[WAIT 40]:[name=Nuri Yuri]:
:[name=Nuri Yuri]:Mauvaise réponse !\nlEssaie encore...[WAIT 40],Wrong!\nlTry again...[WAIT 40]:[name=Nuri Yuri]:
