fr,en
:[name=???]:ll ne me reste plus qu'à relier ça avec ceci et...,:[name=???]:Now the only thing left is to bind this to that and...
:[name=???]:Ça va pas la tête de venir comme ça dans le dos des gens sans t'annoncer ?!,":[name=???]:Are you crazy, scaring people like that without announcing yourself?!"
:[name=???]:J'ai failli faire une attaque cardiaque...,:[name=???]:I almost had a heart attack...
":[name=???]:OK, c'est bon, j'suis calmé...\nlBon, tu es qui exactement ?",":[name=???]:Alright, okay, I'm calm now...\nlSo, who are you exactly?"
":[name=???]:\N[1] ? Ça me dit quelque chose...\nlEnfin bref, passons.",":[name=???]:\N[1]? It does ring a bell...\nlAnyway, let's move on."
":[name=Scor]:Moi, c'est Scorbutics, mais tu peux m'appeler Scor.",":[name=Scor]:The name's Scorbutics, but you can call me Scor."
":[name=Scor]:Je suis ce qu'on appelle un dev' de l'ombre...\nlEt je ne dis pas ça parce qu'on est dans une salle plongée dans le noir, mais bien parce que je travaille sur des chantiers importants sans forcément trop en parler en public.",":[name=Scor]:I'm what you might call a ""shadow-dev""...\nlAnd I'm not saying that because we're in a room plunged in darkness, but because I'm working on important things I don't talk too much about in public."
":[name=Scor]:En parlant de salle sombre, j'espère que tu apprécies le \c[5]DynamicLight\c[0] ?\nlC'est Nuri Yuri qui l'a créé.",":[name=Scor]:Talking about dark rooms, I hope you like the \c[5]DynamicLight\c[0]? Nuri Yuri made it."
":[name=Scor]:C'est une feature super cool de PokémonSDK qui permet d'avoir de la ""lumière"" dynamique, comme son nom l'indique.",":[name=Scor]:It's a very cool feature of PokémonSDK that lets you create dynamic ""lighting"", as indicated by its name."
":[name=Scor]:D'ailleurs, je remarque que tu produis assez peu de lumière, étrangement.\nlBouge pas, je vais arranger ça.",":[name=Scor]:By the way, for an unknown reason, it seems like your light isn't the same size as mine...\nlDon't move, I'll fix that."
":[name=Scor]:Voilà, on a maintenant la même taille de lumière !",":[name=Scor]:Right, now we have the same light size!"
":[name=Scor]:Bon par contre, c'est bien sympa toutes ces ténèbres, mais ça fatigue les yeux.\nlÇa te dirait qu'on aille désactiver ce qui cause ça ?",":[name=Scor]:On the other hand, all this darkness is fun, but it's tiring my poor eyes.\nlHow about we go disable what's causing this?"
:[name=Scor]:Y a une salle au sud-est d'ici. Tu y es peut-être déjà allé\E ?\nlRetrouve-moi là-bas.,":[name=Scor]:There's another room to the south-east. Maybe you've already gone there?\nlAnyway, join me back there."
:[name=Scor]:Si tu veux bien te pousser...,:[name=Scor]:If you could step aside...
La télévision scintille de manière étrange...\nlMieux vaut ne pas y toucher pour le moment.,The television flickers strangely...\nlIt's safer to not deal with it right now.
La télévision scintille de manière étrange...,The television flickers strangely...
Vous sentez que quelque chose vous regarde depuis l'intérieur de l'écran.,You feel something watching you from inside the screen.
La créature vous attaque !,The creature attacks you!
:[name=Scor]:Tu l'as capturé ?,:[name=Scor]:Did you catch it?
":[name=Scor]:Comme je le pensais, c'était donc bien un Motisma.\nlMaintenant qu'il ne pompe plus l'énergie du générateur principal, la lumière devrait revenir...",":[name=Scor]:As I thought, it was a Rotom.\nlNow that it can't syphon the generator's energy, the light should be back around..."
:[name=Scor]:Maintenant.,:[name=Scor]:Now.
:[name=Scor]:C'était rapide.,:[name=Scor]:That was fast.
":[name=Scor]:Merci pour le coup de main, ça aurait été compliqué seul, surtout vu le nombre de Pokémon sauvages qui ont tenté de s'introduire ici.",":[name=Scor]:Thanks for the helping hand, alone it would have been a much harder task, with all the wild Pokémon that tried to enter the room!"
":[name=Scor]:Tiens, un petit cadeau en gage de remerciement.",":[name=Scor]:Here, take this gift as a token of thanks."
":[name=Scor]:Pendant que j'y pense, il me semble qu'à l'étage du Laboratoire, un chercheur a amené divers appareils...\nlTu pourrais peut-être aller voir ça avec Motisma ?",":[name=Scor]:Now that I think about it, I believe a scientist brought a lof of different devices to the Laboratory floor...\nlMaybe you could have a look at it with Rotom?"
":[name=Scor]:Si tu veux revenir me voir, en tout cas, tu sais où me trouver !",":[name=Scor]:If you want to come see me again, you know where to find me!"
Le Pokémon retourne dans la télévision pour regagner des forces.,The Pokémon returns to the television to gain back its strength.
"Sans Motisma à l'intérieur, la télévision est maintenant totalement éteinte.","Without Rotom inside, the television is now completely out of order."
La télévision scintille de manière étrange...\nlMieux vaut ne pas y toucher pour le moment.,The television flickers strangely...\nlIt's safer to not deal with it right now.
La télévision scintille de manière étrange...,The television flickers strangely...
Vous sentez que quelque chose vous regarde depuis l'intérieur de l'écran.,You feel something watching you from inside the screen.
