en,fr,it,de,es,ko,kana
Nobody likes my Raticate!,"Décidément, personne n'aime mon Rattatac !",[~ 0],[~ 0],[~ 0],[~ 0],[~ 0]
So my victory in the tournament meant nothing?,Ma victoire au tournoi ne voulait donc rien dire..?,,,,,
I think I just drowned in my own tears!,Je crois que j'ai bu la tasse avec mes propres larmes !,,,,,
You've undone my obi!,T'as défait mon obi !,,,,,
The dream has become a nightmare!,Le rêve est devenu cauchemar !,,,,,
Wololo,Wololo,,,,,
"I gave it my all, well done to you both.","J'ai donné mon maximum, bravo à vous deux.",,,,,
"End of the line, everyone off...","Terminus, tout le monde descend...",,,,,
I'm not likely to make the front page with a level like that...,Je risque pas de faire la une avec un niveau pareil...,,,,,
Wow. You took my Dragon Breath away!,Wow. Tu m'as coupé le draco-souffle !,,,,,
"Anyway, my Pokémon are definitely not legendary...","En tout cas, mes Pokémon ne sont absolument pas légendaires...",,,,,
But I'd really trained my team!,Mais j'avais vachement entraîné mon équipe !,,,,,
I need to expand my team.,Il faut que j'agrandisse mon équipe.,,,,,
I've just been punished severely!,Je viens de me faire salement punir !,,,,,
